,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
994,10,4,Dairy,Phil,M,56,0,6,0,0.0,1,0,1,0,Trucking Lovely Rose Cake,A Corner of My Garden Mishti
995,10,4,Dairy,Priya,F,34,0,10,0,0.0,1,0,0,0,Choc-chip Banana Cake,Flavours of My Childhood Mishti
996,10,4,Dairy,Rosie,F,28,0,4,0,0.0,0,0,0,0,A Good Dose of Limoncello Cake,Cocktails & Canapés Mishti
997,10,4,Dairy,Steph,F,28,0,1,0,1.0,0,1,0,0,Answer to Everything Cake,Pink and Pretty Mishti
998,10,5,Roaring Twenties,Alice,F,29,0,6,0,0.0,0,0,0,0,Chocolate & Orange Custard Pies,Piña Colada Cake
1001,10,5,Roaring Twenties,David,M,36,1,9,0,1.0,0,0,0,1,Fancy Custards,Amaretto Sour Cake
1002,10,5,Roaring Twenties,Helena,F,40,0,1,0,0.0,1,0,1,0,Lemon and Lavender Pies,Vampire's Kiss Raspberry Vodka Cake
1003,10,5,Roaring Twenties,Henry,M,20,0,3,0,1.0,0,0,0,0,1920s Pies,White Russian Cake
1005,10,5,Roaring Twenties,Michael,M,26,0,8,0,0.0,0,0,0,0,"Mango, Lime & Ginger Pies",Brambling Cake
1006,10,5,Roaring Twenties,Michelle,F,35,0,7,0,0.0,1,0,1,0,Blueberry & White Chocolate Crème Brûlée Pies,My Little Sister the Dancing Queen's Piña Colada Cake
1008,10,5,Roaring Twenties,Priya,F,34,0,2,0,0.0,1,0,0,0,Lemon & Raspberry Ripple Pies,Meena Colada Cake
1009,10,5,Roaring Twenties,Rosie,F,28,0,5,0,0.0,1,0,0,0,Little Blackberry Pies,White Russian Cake
1010,10,5,Roaring Twenties,Steph,F,28,0,4,0,1.0,0,1,0,0,Zesty Citrus Custard Pies,Sour Lime Piña Colada Cake
1011,10,6,Dessert,Alice,F,29,0,1,0,1.0,0,0,0,0,Black Forest Meringue,Tiramisu Bombe
1014,10,6,Dessert,David,M,36,0,2,0,0.0,0,0,0,1,Spiced Meringue Surprise,Delightful Bombe
1016,10,6,Dessert,Henry,M,20,0,4,0,0.0,1,0,0,0,Towering Meringue Cake,Bonfire Bombe
1018,10,6,Dessert,Michael,M,26,0,6,0,0.0,1,0,0,0,Dark Chocolate Meringue Cake,Black Forest Bombe
1021,10,6,Dessert,Priya,F,34,0,7,0,0.0,1,0,1,0,Family Favourite,Summer Fruit Bombe
1022,10,6,Dessert,Rosie,F,28,0,5,0,0.0,1,0,0,0,Layers of Lime and Raspberry,Ruby Bombe
1023,10,6,Dessert,Steph,F,28,0,3,0,1.0,0,1,0,0,Eton Mess,Mirror Bombe
1024,10,7,Festivals,Alice,F,29,0,6,0,0.0,0,0,0,0,"Lemon, Blueberry & Almond Hot Cross Buns","Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake"
1027,10,7,Festivals,David,M,36,0,2,0,1.0,0,0,0,1,Kozunak Plaits,Sarawak Style Layer Cake Sculpture
1029,10,7,Festivals,Henry,M,20,0,3,1,1.0,0,1,0,0,Chocolate Kardemummabullar,Elegant Present Box
1031,10,7,Festivals,Michael,M,26,0,5,0,0.0,1,0,1,0,Figgy Pudding Hot Cross Buns,Jamaican Mule Sarawak Style Layer Cake
1035,10,7,Festivals,Rosie,F,28,0,1,0,0.0,1,0,0,0,Mardi Gras Finnish Semlor Peacock Festival Buns,Rainbow Sarawak Style Layer Cake
1036,10,7,Festivals,Steph,F,28,0,4,1,1.0,0,0,0,0,Zest and Spice Hot Cross Buns,Orange and Chai Spiced Revitalise Cake
1037,10,8,Festivals,Alice,F,29,0,3,0,0.0,0,0,0,0,"Leek, Apple & Goat's Cheese Tarte Tatin",Apple Tree House Pie
1040,10,8,Festivals,David,M,36,0,1,0,1.0,0,0,0,1,Caramelly Carroty Tarte Tatin,Whitby Fish Pie
1042,10,8,Festivals,Henry,M,20,0,5,0,0.0,1,0,1,0,"Crab, Tomato & New Potato Tarte Tatin",Chandelier Picnic Pie
1048,10,8,Festivals,Rosie,F,28,0,2,0,0.0,1,0,0,0,"Shallot, Aubergine & Goat's Cheese Spiced Tarte Tatin",Rapunzel's Tower
1049,10,8,Festivals,Steph,F,28,0,4,0,1.0,0,1,0,0,Caramelised Onion & Goat's Cheese Tarte Tatin,Curried Chickpea & Potato Carousel
1050,10,9,Pâtisserie,Alice,F,29,0,4,0,1.0,0,1,0,0,"Mocha, Hazelnut & Orange Domed Tarts",Save Our Oceans
1053,10,9,Pâtisserie,David,M,36,0,2,0,0.0,1,0,0,1,Aperitif Domed Tarts,Greenhouse Growing Moss
1061,10,9,Pâtisserie,Rosie,F,28,0,1,0,0.0,1,0,1,0,"Lemon, Raspberry & Mint Domed Tarts",Time with Family
1062,10,9,Pâtisserie,Steph,F,28,0,3,0,1.0,0,0,0,0,"Raspberry, Lemon & White Chocolate Domed Tarts",A Night at the Opera
1063,10,10,Final,Alice,F,29,0,2,0,0.0,0,0,1,0,"Chocolate, Pear, Ginger and Maple Cake",End of the School Year Celebration Picnic
1066,10,10,Final,David,M,36,0,1,0,0.0,0,1,0,1,"Chocolate, Armagnac and Prune Cake",Peachy Pic-Nik
1075,10,10,Final,Steph,F,28,0,3,0,0.0,0,0,1,0,Black Forest Chocolate Cake,Picnic in the Park
