,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
761,8,5,Pudding,Sophie,F,33,0,1,0,1.0,0,1,0,1,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
762,8,5,Pudding,Stacey,F,42,0,4,0,1.0,0,0,0,0,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
763,8,5,Pudding,Steven,M,34,1,5,0,0.0,0,0,0,0,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
765,8,5,Pudding,Yan,F,46,1,6,0,0.0,0,0,0,0,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
769,8,6,Pastry,Julia,F,21,0,7,0,0.0,1,0,1,0,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
770,8,6,Pastry,Kate,F,29,0,5,0,0.0,0,0,0,0,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
771,8,6,Pastry,Liam,M,19,0,4,0,1.0,0,1,0,0,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
773,8,6,Pastry,Sophie,F,33,0,2,0,1.0,0,0,0,1,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
774,8,6,Pastry,Stacey,F,42,0,6,0,0.0,1,0,0,0,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
775,8,6,Pastry,Steven,M,34,0,3,0,0.0,0,0,0,0,'Fleetwood Mac' Decorative Pies,Christmas Pie
777,8,6,Pastry,Yan,F,46,0,1,0,1.0,0,0,0,0,'πr2' Decorative Pies,Chequerboard Pie
782,8,7,Italian,Kate,F,29,0,6,0,0.0,1,0,0,0,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
783,8,7,Italian,Liam,M,19,0,2,0,1.0,0,0,0,0,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
785,8,7,Italian,Sophie,F,33,0,3,0,1.0,0,0,0,1,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
786,8,7,Italian,Stacey,F,42,0,4,0,0.0,1,0,0,0,My All Time Favourite Desserts,Pastry Surprise
787,8,7,Italian,Steven,M,34,0,1,0,1.0,0,1,0,0,Italian Style Cannoli,'Sicilian-style' Sfogliatelle
789,8,7,Italian,Yan,F,46,0,5,0,0.0,1,0,1,0,Cannoli Cocktails,Canadian-Style Sfogliatelle
794,8,8,Forgotten,Kate,F,29,0,2,0,0.0,1,0,0,0,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
795,8,8,Forgotten,Liam,M,19,0,5,0,0.0,1,0,1,0,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
797,8,8,Forgotten,Sophie,F,33,0,4,0,0.0,0,0,0,1,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
798,8,8,Forgotten,Stacey,F,42,1,3,0,1.0,0,1,0,0,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
799,8,8,Forgotten,Steven,M,34,0,1,0,1.0,0,0,0,0,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
806,8,9,Pâtisserie,Kate,F,29,0,4,0,1.0,0,0,0,0,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
809,8,9,Pâtisserie,Sophie,F,33,0,1,0,1.0,0,1,0,1,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
810,8,9,Pâtisserie,Stacey,F,42,0,2,0,0.0,1,0,1,0,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
811,8,9,Pâtisserie,Steven,M,34,0,3,0,0.0,1,0,0,0,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
818,8,10,Final,Kate,F,29,0,3,0,0.0,0,0,1,0,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
821,8,10,Final,Sophie,F,33,0,2,0,0.0,0,1,0,1,"Spelt Boules, Mushroom Ciabatta & Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
823,8,10,Final,Steven,M,34,0,1,0,0.0,0,0,1,0,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
826,9,1,Biscuits,Antony,M,30,0,12,0,0.0,0,0,0,0,Turmeric and Caraway Goosnargh Cakes,"""Kilimanjaro Selfie"""
827,9,1,Biscuits,Briony,F,33,0,2,0,1.0,0,0,0,0,Apple Cider Empire Biscuits,"""Bristol Biscuit Selfie"""
828,9,1,Biscuits,Dan,M,36,0,4,0,0.0,0,0,0,0,Lemon and Strawberry Shrewsburys,"""New Dad in Palm Springs"""
829,9,1,Biscuits,Imelda,F,33,0,11,0,0.0,1,0,1,0,Cherry and White Chocolate Oatmeal Biscuits,"""Seaside Selfie"""
830,9,1,Biscuits,Jon,M,47,0,5,0,0.0,0,0,0,0,Aberffraw 'Creams',"""A Sailing Selfie by the Sea"""
831,9,1,Biscuits,Karen,F,60,0,6,0,0.0,0,0,0,0,Yorkshire Perkins,"Rosewater and Cardamom ""Holiday Selfie"""
832,9,1,Biscuits,Kim-Joy,F,27,0,10,0,0.0,0,0,0,0,Orange Blossom York Biscuits,"""Me at Miyajima Shrine"""
833,9,1,Biscuits,Luke,M,30,0,8,0,0.0,0,0,0,0,Yorkshire Gingernuts,"""What Happens In Vegas...!"""
834,9,1,Biscuits,Manon,F,26,0,3,0,1.0,0,1,0,0,Hazelnut Cornish Shortbread,Matcha and White Chocolate Ganache Japanese Selfie
835,9,1,Biscuits,Rahul,M,30,0,7,0,0.0,0,0,0,1,Fennel and Coconut Pitcaithly Bannock,"""First Spring in the UK"""
836,9,1,Biscuits,Ruby,F,29,0,1,0,0.0,1,0,0,0,Masala Chai Devon Flats,"""Gingerbread Marathon Selfie"""
837,9,1,Biscuits,Terry,M,46,0,9,0,0.0,1,0,0,0,Lake District Ginger Shortbread,"""Brandy Snap Selfie"""
838,9,2,Cake,Antony,M,30,0,9,0,0.0,0,0,0,0,Cardamom and Coconut Burfi Traybake,"Pistachio, Saffron and Rose Cake"
839,9,2,Cake,Briony,F,33,0,5,0,0.0,1,0,0,0,Turron and Orange Traybake,Chocolate Fudge and Salted Caramel Creation
840,9,2,Cake,Dan,M,36,1,3,0,1.0,0,0,0,0,Black Forest Slice,Dark Chocolate and Raspberry Birthday Cake
842,9,2,Cake,Jon,M,47,0,1,0,1.0,0,0,0,0,Lemon Meringue Traybake,Hawaiian Shirt Pina Colada Cake
843,9,2,Cake,Karen,F,60,0,11,0,0.0,0,0,0,0,Almond and Marzipan Traybake with Rhubarb Jam,Strawberry Fayre Chocolate Cake
844,9,2,Cake,Kim-Joy,F,27,0,4,0,0.0,0,0,0,0,Pandan Chiffon Cake with Palm Sugar Cream,Yuzu and Raspberry Genoise Cat Cake
845,9,2,Cake,Luke,M,30,0,7,0,0.0,1,0,1,0,Lemon and Poppy Seed Traybake,Raspberry and White Chocolate Collar Cake
846,9,2,Cake,Manon,F,26,0,6,0,0.0,0,0,0,0,Rosemary and Honey Traybake,Almond Princess Cake
847,9,2,Cake,Rahul,M,30,0,2,1,1.0,0,1,0,1,Lemon and Cardamom Traybake,Chocolate Orange Layer Cake
848,9,2,Cake,Ruby,F,29,0,10,1,0.0,0,0,0,0,Boozy Black Forest Traybake,"Chocolate Orange ""Jackson Pollock"" Collar Cake"
849,9,2,Cake,Terry,M,46,0,8,0,0.0,1,0,0,0,Rum and Raisin Traybake,Champagne and Strawberries Eiffel Tower Collar Cake
850,9,3,Bread,Antony,M,30,0,8,0,0.0,1,0,1,0,Decadent Breakfast Chelsea Buns,Chocolate and Orange Adventure Korovai
851,9,3,Bread,Briony,F,33,0,9,0,0.0,1,0,0,0,Balsamic Strawberry Chelsea Buns,Happily Ever After Korovai
852,9,3,Bread,Dan,M,36,1,6,0,1.0,0,0,0,0,Sticky Spiced Orange Chelsea Buns,Wedding Korovai
